H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
-1662.6517	-1.4331213E-7	-1.00218272727273E-5	-3.12104074711015E-4	-1.0890572829603
-1637.6535	-3.9465348E-7	-2.75981454545455E-5	-3.25402035443381E-4	-1.05556105012002
-1612.653	9.614001E-8	6.72307762237762E-6	-2.86802061279779E-4	-1.0434304021752
-1587.6518	-1.7548303E-7	-1.22715405594406E-5	-3.01517808572283E-4	-1.07507759417883
-1562.6469	-2.879112E-7	-2.01336503496503E-5	-3.05100414230683E-4	-1.05484109322645
-1537.6441	-1.2805943E-6	-8.95520489510489E-5	-3.70239668108175E-4	-1.09330933124395
-1512.6523	-2.3673358E-7	-1.65547958041958E-5	-2.92965152850241E-4	-1.08688034694005
-1487.6493	-1.2114065E-6	-8.47137412587413E-5	-3.56844919351556E-4	-1.07240699745137
-1462.6446	-3.622605E-7	-2.53329020979021E-5	-2.93184610288231E-4	-1.01238540646813
-1437.6402	-2.7387353E-7	-1.91519951048951E-5	-2.82724284736724E-4	-1.00524870309586
-1412.6461	-1.2950151E-7	-9.05604965034965E-6	-2.68350683533871E-4	-0.949228914469881
-1387.634	-4.0587449E-7	-2.83828314685315E-5	-2.83396728964575E-4	-0.968830350883934
-1362.6481	-1.6022096E-7	-1.12042629370629E-5	-2.61941908087087E-4	-0.981317168111244
-1337.6471	-1.1988132E-6	-8.38330909090909E-5	-3.30291899399125E-4	-0.992450424036947
-1312.647	-9.3281157E-7	-6.52315783216783E-5	-3.07411704183682E-4	-1.01471211715108
-1287.6433	-7.546764E-7	-5.27745734265734E-5	-2.90675400532712E-4	-1.04591087408377
-1262.6497	-1.3087995E-6	-9.15244405594405E-5	-3.25147697490581E-4	-1.04231715916591
-1237.6436	-1.2863E-6	-8.9951048951049E-5	-3.19294596374435E-4	-1.01554673030502
-1212.6453	-1.456353E-6	-1.01842867132867E-4	-3.26908039992139E-4	-1.02577675213132
-1187.6455	-6.1178457E-7	-4.27821377622378E-5	-2.63568679337465E-4	-1.01700362058598
-1162.6439	-1.3572943E-6	-9.49156853146853E-5	-3.1142328754195E-4	-1.00512578562124
-1137.6455	-1.4370508E-6	-1.00493062937063E-4	-3.12722273485551E-4	-1.00032124538982
-1112.6524	-1.3370116E-6	-9.34973146853147E-5	-3.01449040632116E-4	-1.04243789096854
-1087.644	-1.6836651E-6	-1.17738818181818E-4	-3.21410440983638E-4	-1.05501754558447
-1062.6357	-2.0104245E-6	-1.40589125874126E-4	-3.39980662645626E-4	-1.01414484505303
-1037.6381	-2.018584E-6	-1.4115972027972E-4	-3.3627300228974E-4	-1.01628308898333
-1012.6421	-7.6399088E-7	-5.34259356643357E-5	-2.44261236747469E-4	-1.00753126920719
-987.44493	-1.7382125E-6	-1.21553321678322E-4	-3.08076212268915E-4	-1.00224459159739
-962.24691	-1.8135434E-6	-1.26821216783217E-4	-3.09031551406642E-4	-0.972487496142332
-937.13297	-2.2270896E-6	-1.55740531468531E-4	-3.33652700132644E-4	-0.998202656771482
-912.14112	-1.6243726E-6	-1.1359248951049E-4	-2.8722738750619E-4	-0.972017241577753
-887.13833	-1.7545682E-6	-1.22697076923077E-4	-2.92052831906337E-4	-0.971204370083694
-861.98683	-1.4330623E-6	-1.00214146853147E-4	-2.65265307610027E-4	-0.938629948487727
-836.88916	-2.1414935E-6	-1.4975479020979E-4	-3.10510569562874E-4	-0.926752637257055
-811.88381	-1.7618601E-6	-1.23207E-4	-2.79683198205294E-4	-0.956042096892421
-786.89338	-1.675808E-6	-1.17189370629371E-4	-2.69388541194454E-4	-0.982526116586986
-761.8904	-2.8336633E-6	-1.98158272727273E-4	-3.46078267762058E-4	-0.950088585584116
-736.88066	-2.4417302E-6	-1.70750363636364E-4	-3.14390026189696E-4	-0.967584636168314
-711.89233	-1.6789845E-6	-1.17411503496503E-4	-2.56774497817528E-4	-0.9797752600142
-686.88401	-2.5458621E-6	-1.78032314685315E-4	-3.13115219553088E-4	-0.953506193784709
-661.89702	-2.3273608E-6	-1.62752503496503E-4	-2.9355896946844E-4	-0.930002812137964
-636.88098	-2.5251739E-6	-1.76585587412587E-4	-3.03110642679362E-4	-0.942885803152451
-611.88621	-2.2022404E-6	-1.54002825174825E-4	-2.76250110025056E-4	-0.925937172607306
-586.88417	-2.3478527E-6	-1.64185503496504E-4	-2.82153773694259E-4	-0.910769415242953
-561.85	-2.4701099E-6	-1.72734958041958E-4	-2.86418714646321E-4	-0.894542883465417
-536.63112	-2.2967108E-6	-1.60609146853147E-4	-2.69976777371838E-4	-0.868272959686089
-511.63137	-2.4680467E-6	-1.72590678321678E-4	-2.77679686113655E-4	-0.839841429987934
-486.63456	-1.8943955E-6	-1.3247520979021E-4	-2.33286098026537E-4	-0.823590602136294
-461.63981	-1.9860363E-6	-1.38883657342657E-4	-2.35416778585373E-4	-0.807295014736431
-436.63556	-2.4122798E-6	-1.68690895104895E-4	-2.60944623461105E-4	-0.817266017825019
-411.6412	-2.2371378E-6	-1.56443202797203E-4	-2.44419230906983E-4	-0.82730383937191
-386.63337	-3.0641945E-6	-2.14279335664336E-4	-2.97975358182708E-4	-0.828710236812222
-361.6262	-2.4922406E-6	-1.74282559440559E-4	-2.53698689324293E-4	-0.813767938869331
-336.63668	-2.3683981E-6	-1.65622244755245E-4	-2.40761502742193E-4	-0.829002371114638
-311.63675	-2.3865135E-6	-1.66889055944056E-4	-2.37749660397898E-4	-0.791710307521083
-286.62385	-2.9647323E-6	-2.07323937062937E-4	-2.73903668212005E-4	-0.775821518651394
-261.47992	-2.4809373E-6	-1.73492118881119E-4	-2.35768551383724E-4	-0.770244130919701
-236.37622	-2.4435465E-6	-1.70877377622378E-4	-2.28857396707064E-4	-0.76054888556378
-211.38391	-2.5771119E-6	-1.80217615384615E-4	-2.33920285073445E-4	-0.744136793524754
-186.29116	-2.4926927E-6	-1.74314174825175E-4	-2.23722305151581E-4	-0.733706456257215
-161.13392	-2.9036444E-6	-2.03052055944056E-4	-2.4815460966248E-4	-0.683183975292409
-136.12992	-2.568779E-6	-1.79634895104895E-4	-2.20458098723468E-4	-0.654813617764074
-111.13111	-1.5302641E-6	-1.07011475524476E-4	-1.43556217294157E-4	-0.61776306271671
-86.135305	-2.2168342E-6	-1.55023370629371E-4	-1.87290164845756E-4	-0.538390265112565
-61.117427	-1.9155209E-6	-1.3395251048951E-4	-1.61937579433245E-4	-0.462814384673708
-36.110747	-1.2695537E-6	-8.8779979020979E-5	-1.12485239191919E-4	-0.403140346893709
-11.110884	-1.0294591E-6	-7.19901468531469E-5	-9.14167649578051E-5	-0.283362599999755
13.89075	-3.8791376E-7	-2.71268363636364E-5	-4.22745093013475E-5	-0.197878815800589
38.89633	4.2587076E-7	2.9781172027972E-5	1.89131196017726E-5	-0.1562184575859
63.920631	-1.2892152E-7	-9.01549090909091E-6	-1.56007187878956E-5	-0.105917395160052
88.89418	-5.7683568E-7	-4.03381594405594E-5	-4.26492488052547E-5	-0.0421334079524528
113.90087	-1.2105949E-7	-8.4656986013986E-6	-6.49697748183336E-6	-0.0368321618858359
138.91901	8.5701489E-7	5.99311111888112E-5	6.61816024214421E-5	0.00482735670269172
163.91574	2.1090793E-7	1.47488062937063E-5	2.52774033902572E-5	0.0863672270024415
188.91147	5.6381534E-7	3.94276461538461E-5	5.42341779676965E-5	0.166116490283271
213.92226	1.1113385E-6	7.7715979020979E-5	9.68030230202341E-5	0.209653238423338
239.03364	1.5221236E-6	1.0644220979021E-4	1.29826981613429E-4	0.296524600529264
264.17294	1.59588E-6	1.116E-4	1.39287278060829E-4	0.342091294950165
289.17495	2.0315342E-6	1.42065328671329E-4	1.74031616250234E-4	0.39707729249885
314.17236	1.3533406E-6	9.46392027972028E-5	1.3088371261973E-4	0.398389753829783
339.1596	2.1360596E-6	1.49374797202797E-4	1.89895788707816E-4	0.428961190713579
364.17153	1.2072573E-6	8.44235874125874E-5	1.29225286210158E-4	0.432671625306268
389.17117	2.0118007E-6	1.40685363636364E-4	1.8976566633452E-4	0.48341157465603
414.17061	1.776926E-6	1.24260559440559E-4	1.77619431809977E-4	0.456498492963347
439.17011	2.2727342E-6	1.58932461538462E-4	2.16569913847939E-4	0.470407772535454
464.16971	1.116949E-6	7.81083216783217E-5	1.4002437104252E-4	0.469846278570765
489.17576	1.2072207E-6	8.4421027972028E-5	1.50616778286649E-4	0.521877555850142
514.17694	1.6505227E-6	1.15421167832168E-4	1.8589578561317E-4	0.513270370309251
539.17248	2.7285441E-6	1.9080727972028E-4	2.65559799700724E-4	0.580321564114636
564.16827	1.7106311E-6	1.19624552447552E-4	1.98655017414093E-4	0.635287913993822
589.1745	2.443504E-6	1.70874405594406E-4	2.54184602317762E-4	0.721281969498091
614.17509	2.2321143E-6	1.56091909090909E-4	2.4368087230414E-4	0.751770610354258
639.18277	3.4499501E-6	2.41255251748252E-4	3.33124194880898E-4	0.772317306264034
664.17244	3.1423937E-6	2.19747811188811E-4	3.15893651890236E-4	0.750863337393339
689.17535	1.8762782E-6	1.31208265734266E-4	2.31633269985726E-4	0.738586241218237
714.17952	1.5606842E-6	1.09138755244755E-4	2.13843138690992E-4	0.674761963110125
739.18297	1.5783714E-6	1.10375622377622E-4	2.19359261793069E-4	0.650586738447538
764.17295	1.5094729E-6	1.05557545454545E-4	2.18818135494224E-4	0.668587960560719
789.17462	2.1916511E-6	1.53262314685315E-4	2.70801856053218E-4	0.694537689891593
814.18125	1.9783846E-6	1.38348573426573E-4	2.6016791500994E-4	0.708797615270225
839.17973	1.8612273E-6	1.30155755244755E-4	2.56253502198628E-4	0.728100914067608
864.17344	1.5871267E-6	1.10987881118881E-4	2.4136321707388E-4	0.733755523013873
889.18075	1.6440784E-6	1.14970517482517E-4	2.49625770032682E-4	0.691529396573707
914.17723	1.9855556E-6	1.38850041958042E-4	2.77783357585471E-4	0.715167178126657
939.17967	5.77044E-7	4.03527272727273E-5	1.83565126011279E-4	0.7217942417304
964.17327	2.1040751E-6	1.47138118881119E-4	2.94628087794669E-4	0.70542186848188
